Brand,Processor,RAM (GB),Storage,Operating System,Price ($)
Microsoft,AMD Ryzen 3,64,256GB SSD,FreeDOS,3438.98
Lenovo,Intel i5,32,256GB SSD,FreeDOS,2042.6
Asus,Intel i7,4,1TB HDD,macOS,927.72
HP,Intel i3,16,256GB SSD,Windows,1645.23
MSI,Intel i9,4,256GB SSD,FreeDOS,3086.32
Apple,AMD Ryzen 7,32,1TB HDD,FreeDOS,4564.16
Acer,AMD Ryzen 5,4,512GB SSD,FreeDOS,730.81
Microsoft,Intel i9,64,256GB SSD,FreeDOS,3604.57
Samsung,Intel i5,64,512GB SSD,FreeDOS,2301.39
Samsung,AMD Ryzen 7,16,512GB SSD,Linux,1535.43
Dell,AMD Ryzen 5,16,2TB SSD,Windows,2260.19
Razer,Intel i3,16,256GB SSD,macOS,1154.16
Samsung,Intel i3,32,256GB SSD,Windows,1630.11
Microsoft,Intel i5,4,512GB SSD,Windows,1286.27
Dell,AMD Ryzen 7,8,1TB HDD,macOS,1336.07
HP,Intel i3,8,256GB SSD,Windows,371.21
MSI,Intel i9,32,2TB SSD,Windows,3899.89
Acer,Intel i3,4,512GB SSD,FreeDOS,1006.02
Dell,Intel i5,8,1TB SSD,Linux,981.63
Asus,Intel i9,4,1TB SSD,macOS,2480.6
Lenovo,Intel i7,4,2TB SSD,macOS,1041.8
MSI,AMD Ryzen 5,16,1TB SSD,Windows,2079.94
Microsoft,AMD Ryzen 3,64,512GB SSD,FreeDOS,2178.01
Samsung,AMD Ryzen 7,32,2TB SSD,Linux,2160.92
Lenovo,Intel i5,8,256GB SSD,Linux,1137.35
Razer,Intel i9,32,1TB SSD,FreeDOS,4638.81
Lenovo,AMD Ryzen 9,32,256GB SSD,Windows,4921.65
Microsoft,AMD Ryzen 9,16,2TB SSD,Linux,1837.12
HP,Intel i5,64,1TB SSD,FreeDOS,2548.61
HP,AMD Ryzen 3,32,256GB SSD,Windows,2278.41
Asus,AMD Ryzen 7,32,512GB SSD,FreeDOS,1569.5
Samsung,Intel i7,32,2TB SSD,FreeDOS,1522.23
Apple,AMD Ryzen 5,8,1TB SSD,macOS,2565.8
Dell,Intel i3,64,256GB SSD,macOS,1639.2
Dell,Intel i7,16,1TB HDD,FreeDOS,1605.94
Microsoft,AMD Ryzen 9,4,1TB HDD,FreeDOS,1087.2
Razer,AMD Ryzen 9,16,512GB SSD,FreeDOS,3189.27
Acer,Intel i5,16,512GB SSD,Linux,2144.84
Apple,Intel i7,16,1TB HDD,Linux,3299.32
Razer,Intel i5,16,1TB HDD,Windows,2647.29
Dell,AMD Ryzen 9,8,2TB SSD,FreeDOS,2930.37
Razer,Intel i7,4,256GB SSD,Linux,2902.18
Asus,Intel i7,16,256GB SSD,FreeDOS,2583.75
HP,Intel i9,32,1TB HDD,Linux,4106.33
Razer,AMD Ryzen 9,8,256GB SSD,macOS,4112.36
Acer,AMD Ryzen 9,64,1TB HDD,macOS,4486.71
Acer,AMD Ryzen 7,8,256GB SSD,Windows,1288.12
Microsoft,AMD Ryzen 5,16,1TB SSD,Windows,1214.53
Apple,AMD Ryzen 7,32,256GB SSD,macOS,4032.33
Samsung,Intel i5,32,512GB SSD,FreeDOS,1422.55
Lenovo,Intel i5,8,256GB SSD,Windows,1437.24
Acer,Intel i9,8,256GB SSD,Linux,1719.98
Acer,Intel i7,8,512GB SSD,Linux,726.75
Asus,Intel i7,16,512GB SSD,macOS,2671.46
Razer,AMD Ryzen 3,64,256GB SSD,macOS,2467.84
Samsung,Intel i5,8,1TB HDD,FreeDOS,1037.79
Acer,AMD Ryzen 3,32,256GB SSD,Linux,1021.18
Asus,Intel i9,8,1TB SSD,FreeDOS,1534.79
HP,Intel i9,4,1TB HDD,macOS,1673.26
Microsoft,AMD Ryzen 5,16,512GB SSD,Windows,2295.68
HP,AMD Ryzen 3,32,2TB SSD,Linux,2310.21
Dell,AMD Ryzen 3,16,1TB HDD,Windows,1266.33
Apple,AMD Ryzen 5,16,2TB SSD,Linux,2177.35
Acer,Intel i5,16,2TB SSD,FreeDOS,1188.67
Lenovo,Intel i9,16,1TB SSD,FreeDOS,2143.24
Lenovo,Intel i9,64,1TB SSD,Linux,2722.57
Microsoft,AMD Ryzen 5,4,1TB SSD,Windows,1546.88
Apple,Intel i5,32,256GB SSD,Windows,2199.87
Acer,Intel i3,8,512GB SSD,Windows,958.37
Microsoft,Intel i3,8,1TB SSD,Linux,1065.81
Dell,Intel i7,64,512GB SSD,Windows,3648.96
Asus,Intel i3,64,256GB SSD,Linux,1943.94
MSI,AMD Ryzen 9,8,1TB HDD,macOS,3180.52
HP,Intel i5,8,1TB HDD,Linux,1286.55
MSI,Intel i3,8,2TB SSD,Windows,1616.58
HP,AMD Ryzen 7,4,512GB SSD,macOS,1554.49
Apple,AMD Ryzen 9,64,2TB SSD,Windows,5471.81
Apple,AMD Ryzen 3,8,512GB SSD,FreeDOS,1419.48
Acer,AMD Ryzen 7,16,512GB SSD,Linux,1276.31
HP,AMD Ryzen 3,32,512GB SSD,Windows,991.37
Microsoft,AMD Ryzen 9,64,256GB SSD,Windows,4200.93
Samsung,AMD Ryzen 7,64,2TB SSD,FreeDOS,5448.95
Samsung,AMD Ryzen 5,64,1TB SSD,Linux,4426.88
Apple,Intel i7,4,1TB HDD,Windows,1599.17
Asus,AMD Ryzen 3,4,2TB SSD,FreeDOS,551.39
MSI,AMD Ryzen 3,64,1TB SSD,Linux,3443.82
Microsoft,Intel i9,64,256GB SSD,Windows,4338.67
Apple,AMD Ryzen 7,64,2TB SSD,Windows,4374.84
Asus,Intel i7,8,1TB SSD,macOS,1346.44
Lenovo,AMD Ryzen 7,16,1TB SSD,Linux,2750.2
Dell,Intel i7,16,2TB SSD,FreeDOS,1520.45
Microsoft,AMD Ryzen 9,64,512GB SSD,Linux,5293.8
Lenovo,Intel i9,4,1TB SSD,FreeDOS,1367.55
Asus,Intel i7,8,2TB SSD,Windows,1230.33
Dell,Intel i7,32,2TB SSD,macOS,1229.46
Dell,AMD Ryzen 7,32,512GB SSD,Windows,1885.72
Razer,Intel i3,8,1TB HDD,Linux,769.87
Dell,AMD Ryzen 9,4,512GB SSD,Linux,2417.09
Apple,Intel i7,16,512GB SSD,Windows,2321.22
Microsoft,Intel i5,32,1TB HDD,Windows,1212.56
Razer,Intel i7,16,1TB HDD,macOS,2377.93
MSI,Intel i5,8,1TB SSD,FreeDOS,985.93
MSI,Intel i5,4,512GB SSD,Windows,1814
Microsoft,Intel i3,16,1TB SSD,Linux,941.56
Dell,AMD Ryzen 7,16,1TB SSD,Linux,1779.06
Dell,AMD Ryzen 9,32,1TB SSD,FreeDOS,2356.42
Acer,Intel i5,16,1TB SSD,Windows,977.21
Samsung,AMD Ryzen 3,8,512GB SSD,macOS,1111.58
Samsung,Intel i5,64,256GB SSD,Linux,2203.52
Acer,Intel i3,64,1TB SSD,FreeDOS,1226.38
Asus,AMD Ryzen 7,16,512GB SSD,Windows,1960.94
HP,AMD Ryzen 7,4,256GB SSD,macOS,1253.31
Dell,AMD Ryzen 5,32,256GB SSD,FreeDOS,1546.76
HP,Intel i9,32,256GB SSD,macOS,2334.8
Asus,Intel i3,8,1TB SSD,Linux,1639.94
Acer,AMD Ryzen 3,8,1TB SSD,macOS,1402.43
Samsung,AMD Ryzen 3,8,2TB SSD,Linux,1304.94
Apple,AMD Ryzen 3,8,256GB SSD,Linux,1130.03
Dell,AMD Ryzen 7,4,2TB SSD,Linux,1812.48
Acer,Intel i3,64,512GB SSD,FreeDOS,3618.36
MSI,Intel i7,64,256GB SSD,macOS,4886.23
Razer,AMD Ryzen 7,32,256GB SSD,Linux,5074.21
Asus,AMD Ryzen 7,8,256GB SSD,Linux,1759.07
Dell,AMD Ryzen 3,32,2TB SSD,macOS,1771.05
Samsung,AMD Ryzen 7,8,512GB SSD,Linux,1613.38
MSI,AMD Ryzen 5,8,256GB SSD,FreeDOS,1246.99
Razer,Intel i5,64,512GB SSD,Linux,2978.76
Dell,Intel i3,4,1TB SSD,macOS,841.43
MSI,Intel i5,16,2TB SSD,Linux,2180.11
Asus,Intel i7,64,1TB SSD,macOS,3240.12
Samsung,Intel i9,32,512GB SSD,Linux,4771.51
Apple,AMD Ryzen 3,64,256GB SSD,FreeDOS,3076.51
Microsoft,AMD Ryzen 7,4,2TB SSD,Linux,1918.89
HP,Intel i7,8,512GB SSD,Windows,1494.68
Samsung,AMD Ryzen 9,32,256GB SSD,FreeDOS,3641.83
Dell,Intel i9,64,512GB SSD,Windows,4846.63
Razer,Intel i5,16,512GB SSD,Linux,3011.36
Samsung,Intel i5,16,256GB SSD,macOS,1144.81
Apple,AMD Ryzen 9,8,2TB SSD,Linux,3293.13
Apple,Intel i5,32,2TB SSD,macOS,2080.95
Asus,Intel i9,16,512GB SSD,Windows,2470.2
Microsoft,AMD Ryzen 7,32,1TB HDD,Linux,2294.08
Microsoft,AMD Ryzen 5,64,1TB SSD,FreeDOS,2304.02
Dell,AMD Ryzen 9,32,2TB SSD,Windows,2939.79
Razer,AMD Ryzen 3,8,1TB HDD,FreeDOS,903.49
Apple,AMD Ryzen 3,64,1TB HDD,Linux,3265.14
Lenovo,AMD Ryzen 5,4,512GB SSD,macOS,1107.03
Asus,Intel i9,4,1TB HDD,Windows,1085.67
Lenovo,Intel i7,32,256GB SSD,FreeDOS,2052.57
Dell,AMD Ryzen 7,64,2TB SSD,Linux,2929.79
Razer,AMD Ryzen 7,64,256GB SSD,macOS,4241.28
Acer,Intel i7,16,1TB SSD,FreeDOS,2017.34
Acer,AMD Ryzen 5,64,1TB HDD,FreeDOS,2224.94
Razer,Intel i5,8,512GB SSD,Windows,1219.35
HP,Intel i5,64,1TB SSD,Windows,2208.59
Razer,Intel i5,16,2TB SSD,FreeDOS,1574.78
Samsung,AMD Ryzen 7,8,256GB SSD,FreeDOS,1525.25
Asus,Intel i3,16,1TB HDD,Windows,643.96
MSI,AMD Ryzen 5,16,2TB SSD,macOS,1649.83
Asus,Intel i9,8,2TB SSD,FreeDOS,2200.21
Microsoft,Intel i3,16,512GB SSD,macOS,857.06
Asus,Intel i5,64,2TB SSD,Linux,2507.92
HP,AMD Ryzen 5,16,256GB SSD,Linux,996.39
MSI,Intel i3,64,1TB HDD,Windows,2135.43
Acer,Intel i5,4,256GB SSD,macOS,1360.9
Razer,AMD Ryzen 5,16,1TB SSD,FreeDOS,3050.98
Microsoft,AMD Ryzen 7,8,1TB SSD,Windows,1592.86
MSI,Intel i7,8,2TB SSD,Linux,2350.67
Microsoft,AMD Ryzen 7,16,512GB SSD,macOS,1878.9
Lenovo,Intel i9,32,1TB SSD,FreeDOS,3729.24
MSI,AMD Ryzen 3,64,512GB SSD,Linux,2454.61
MSI,AMD Ryzen 5,8,1TB SSD,macOS,1723.04
Samsung,AMD Ryzen 5,16,1TB HDD,Windows,750.9
MSI,AMD Ryzen 9,8,1TB HDD,Linux,1183.29
Acer,Intel i9,16,1TB SSD,macOS,1667.34
Apple,Intel i9,4,512GB SSD,FreeDOS,4062.38
Acer,AMD Ryzen 9,4,2TB SSD,macOS,1414.25
Asus,Intel i3,4,512GB SSD,Linux,666.68
Apple,Intel i5,8,512GB SSD,Linux,2359.86
Razer,Intel i5,4,512GB SSD,Windows,1391.67
Samsung,AMD Ryzen 7,64,256GB SSD,macOS,2969.84
HP,Intel i3,64,1TB HDD,macOS,1512.54
MSI,Intel i3,8,1TB HDD,FreeDOS,611.61
MSI,Intel i5,4,1TB HDD,macOS,889.72
Razer,AMD Ryzen 3,64,2TB SSD,macOS,2702.86
Dell,AMD Ryzen 5,32,1TB HDD,macOS,2322.21
Lenovo,AMD Ryzen 9,16,512GB SSD,Windows,1699.12
Microsoft,Intel i9,8,1TB SSD,Windows,1448.92
Razer,AMD Ryzen 3,16,256GB SSD,FreeDOS,2481.7
Microsoft,AMD Ryzen 5,64,256GB SSD,FreeDOS,2180.6
Acer,Intel i5,4,2TB SSD,Windows,1073.72
MSI,Intel i7,16,2TB SSD,macOS,2449.33
Asus,Intel i9,32,512GB SSD,macOS,4655.67
Asus,AMD Ryzen 5,8,256GB SSD,Linux,1749.09
Samsung,AMD Ryzen 3,16,256GB SSD,Windows,705.27
Acer,Intel i7,8,256GB SSD,FreeDOS,1517.72
MSI,AMD Ryzen 7,64,1TB HDD,Linux,2935.07
MSI,Intel i7,32,1TB HDD,Linux,2128.18
Razer,Intel i7,64,1TB HDD,macOS,4733.36
Microsoft,Intel i3,4,512GB SSD,macOS,1253.28
Microsoft,Intel i9,8,256GB SSD,Linux,2820.78
Apple,Intel i5,16,1TB SSD,FreeDOS,2002.02
Apple,AMD Ryzen 5,16,1TB HDD,Linux,1475.08
Razer,AMD Ryzen 7,32,1TB SSD,Linux,1567.42
Apple,Intel i9,32,1TB SSD,macOS,2832.59
MSI,Intel i3,4,256GB SSD,FreeDOS,1690.65
Lenovo,AMD Ryzen 3,64,1TB HDD,macOS,1631.37
Lenovo,AMD Ryzen 7,4,256GB SSD,Windows,1300.27
Dell,Intel i7,4,256GB SSD,Windows,1085.59
Lenovo,Intel i3,64,1TB SSD,Windows,3523.6
Razer,AMD Ryzen 3,8,1TB HDD,macOS,895.17
Microsoft,AMD Ryzen 9,4,1TB HDD,Windows,1255.03
Apple,AMD Ryzen 5,32,1TB SSD,Linux,2600.06
Razer,Intel i3,16,256GB SSD,FreeDOS,1284.43
MSI,AMD Ryzen 3,8,256GB SSD,Windows,1951.87
Dell,AMD Ryzen 9,16,512GB SSD,FreeDOS,2344.09
HP,AMD Ryzen 3,4,512GB SSD,macOS,1296.09
Microsoft,Intel i5,64,2TB SSD,Linux,1663.41
MSI,AMD Ryzen 7,8,2TB SSD,FreeDOS,1594.49
Microsoft,AMD Ryzen 9,16,1TB SSD,FreeDOS,2589.43
MSI,AMD Ryzen 9,16,2TB SSD,FreeDOS,3094.92
HP,AMD Ryzen 5,4,512GB SSD,Windows,1233.23
Acer,AMD Ryzen 3,16,256GB SSD,macOS,1747.13
Apple,AMD Ryzen 7,8,2TB SSD,FreeDOS,1777.96
Asus,Intel i3,32,2TB SSD,macOS,1475.04
Samsung,AMD Ryzen 5,64,256GB SSD,Windows,3947.61
Samsung,Intel i3,8,1TB HDD,Windows,583.08
Dell,Intel i5,4,1TB HDD,Windows,545.8
MSI,Intel i3,4,1TB SSD,FreeDOS,1653.36
MSI,AMD Ryzen 7,16,2TB SSD,macOS,2241.68
HP,Intel i3,8,256GB SSD,Windows,940.79
Razer,Intel i3,8,256GB SSD,Windows,1391.12
Samsung,Intel i9,16,1TB SSD,FreeDOS,2230.67
Razer,Intel i9,32,1TB HDD,Linux,3179.69
Microsoft,AMD Ryzen 3,16,512GB SSD,FreeDOS,1391.77
Samsung,AMD Ryzen 7,8,2TB SSD,Linux,1845.58
HP,AMD Ryzen 7,64,512GB SSD,FreeDOS,2982.7
HP,AMD Ryzen 5,8,2TB SSD,Linux,1265.97
Apple,Intel i5,8,1TB HDD,FreeDOS,1251.71
Acer,AMD Ryzen 5,32,1TB HDD,FreeDOS,1220.23
Samsung,AMD Ryzen 5,8,2TB SSD,macOS,1141.9
MSI,Intel i3,4,2TB SSD,Windows,643.52
Acer,AMD Ryzen 3,32,1TB SSD,FreeDOS,1658.56
MSI,Intel i7,16,2TB SSD,Windows,3263.4
Dell,Intel i5,4,2TB SSD,macOS,1206.82
Lenovo,AMD Ryzen 5,64,1TB SSD,macOS,4069.21
Asus,AMD Ryzen 5,4,512GB SSD,FreeDOS,1639.33
Razer,Intel i7,16,256GB SSD,Linux,2523.65
Razer,AMD Ryzen 9,16,256GB SSD,Windows,5070.16
Razer,Intel i5,4,1TB HDD,FreeDOS,1437.22
Microsoft,Intel i5,4,1TB HDD,Linux,1401.35
Razer,AMD Ryzen 9,4,2TB SSD,FreeDOS,1507.13
HP,AMD Ryzen 7,32,2TB SSD,FreeDOS,1847.66
Microsoft,Intel i5,8,256GB SSD,Windows,1703.19
Microsoft,Intel i7,64,2TB SSD,Linux,5505.95
Acer,Intel i3,32,2TB SSD,FreeDOS,1142.24
Asus,AMD Ryzen 3,8,1TB HDD,macOS,795.68
Razer,Intel i3,32,1TB SSD,macOS,1830.19
Dell,AMD Ryzen 9,4,1TB HDD,FreeDOS,1102.95
Microsoft,Intel i3,32,1TB SSD,macOS,1339.89
Acer,Intel i9,4,256GB SSD,Linux,1120.06
Acer,AMD Ryzen 9,16,1TB SSD,Linux,2188.95
Acer,Intel i5,8,512GB SSD,Linux,928.71
Apple,AMD Ryzen 9,4,1TB HDD,FreeDOS,1861.85
HP,AMD Ryzen 7,4,256GB SSD,macOS,2094.32
Lenovo,Intel i7,64,256GB SSD,Windows,5302.35
Razer,Intel i7,32,1TB HDD,Linux,3760.46
Dell,Intel i9,64,512GB SSD,FreeDOS,3813.06
MSI,Intel i3,16,1TB HDD,Linux,967.3
Asus,AMD Ryzen 3,8,1TB HDD,Windows,845.48
MSI,AMD Ryzen 7,64,1TB SSD,macOS,3969.26
HP,Intel i3,4,2TB SSD,Windows,509.11
Microsoft,Intel i3,32,512GB SSD,FreeDOS,1602.18
Razer,Intel i3,32,512GB SSD,FreeDOS,1695.51
Microsoft,AMD Ryzen 3,32,1TB SSD,Linux,964.84
Dell,Intel i5,64,1TB HDD,macOS,1812.11
Apple,Intel i7,32,512GB SSD,FreeDOS,3268.6
Apple,Intel i3,32,512GB SSD,FreeDOS,1696.13
HP,AMD Ryzen 7,64,2TB SSD,Windows,4076.77
Lenovo,AMD Ryzen 9,16,256GB SSD,Windows,1452.26
Asus,AMD Ryzen 7,8,2TB SSD,FreeDOS,1835.6
Razer,Intel i7,8,512GB SSD,Linux,1625.05
Asus,Intel i3,8,256GB SSD,FreeDOS,883.4
HP,AMD Ryzen 5,16,256GB SSD,FreeDOS,1543.56
Acer,Intel i3,32,1TB HDD,macOS,1909.16
Razer,Intel i3,16,512GB SSD,macOS,1533.81
Microsoft,AMD Ryzen 9,4,2TB SSD,FreeDOS,1381.06
HP,Intel i7,16,1TB HDD,Windows,1579.7
Dell,Intel i5,16,2TB SSD,macOS,1107.14
HP,Intel i3,64,1TB SSD,Windows,2732.83
Samsung,AMD Ryzen 9,8,1TB SSD,Linux,1818.62
Asus,Intel i7,32,256GB SSD,FreeDOS,1869.87
Asus,AMD Ryzen 3,64,2TB SSD,Windows,2752.19
Asus,AMD Ryzen 9,32,1TB SSD,FreeDOS,2453.17
HP,Intel i5,4,256GB SSD,Windows,1220.54
Dell,AMD Ryzen 9,32,1TB HDD,macOS,1925.16
Microsoft,AMD Ryzen 9,64,256GB SSD,macOS,3529.45
Microsoft,AMD Ryzen 5,64,512GB SSD,Linux,2550.31
Microsoft,AMD Ryzen 9,32,2TB SSD,FreeDOS,1709.4
Asus,AMD Ryzen 7,16,2TB SSD,macOS,2352.23
Lenovo,Intel i9,16,256GB SSD,Linux,2677.41
HP,Intel i3,64,1TB HDD,FreeDOS,2193.99
Lenovo,Intel i9,64,256GB SSD,Windows,5475.6
Razer,Intel i9,16,512GB SSD,FreeDOS,4923.97
Lenovo,Intel i7,4,2TB SSD,FreeDOS,922.06
Microsoft,Intel i7,32,512GB SSD,Windows,1766.22
Samsung,Intel i5,4,256GB SSD,macOS,1679.8
MSI,AMD Ryzen 7,32,512GB SSD,Linux,2045
Apple,AMD Ryzen 9,4,256GB SSD,Linux,3076.51
Razer,Intel i7,32,512GB SSD,FreeDOS,2331.89
Razer,AMD Ryzen 7,4,512GB SSD,Linux,2234.26
Acer,Intel i7,8,2TB SSD,Linux,1019.05
Razer,AMD Ryzen 5,64,2TB SSD,FreeDOS,5542.3
Apple,AMD Ryzen 5,4,256GB SSD,Linux,1423.74
HP,Intel i3,8,1TB SSD,macOS,691.54
Apple,Intel i3,16,1TB HDD,FreeDOS,1347.05
Acer,Intel i9,16,256GB SSD,FreeDOS,1863.75
Acer,Intel i9,64,512GB SSD,macOS,5286.01
Dell,AMD Ryzen 7,32,256GB SSD,Linux,2577.13
Asus,AMD Ryzen 3,64,1TB HDD,macOS,3070.19
Acer,AMD Ryzen 9,4,1TB HDD,macOS,784.09
Acer,AMD Ryzen 7,32,1TB HDD,macOS,1704.24
Asus,Intel i7,8,1TB HDD,Linux,1440.03
Apple,Intel i3,16,1TB SSD,Linux,2133.51
Acer,Intel i3,8,512GB SSD,macOS,1136.84
MSI,AMD Ryzen 7,32,2TB SSD,Linux,2814.53
MSI,AMD Ryzen 3,8,1TB HDD,macOS,918.46
HP,AMD Ryzen 3,4,1TB SSD,Windows,408.86
Microsoft,AMD Ryzen 7,4,256GB SSD,macOS,2043.45
Lenovo,Intel i9,4,1TB SSD,Linux,1253.75
MSI,Intel i9,64,1TB HDD,macOS,5729.72
Microsoft,Intel i7,8,1TB SSD,Linux,1129.79
Samsung,AMD Ryzen 3,64,1TB HDD,macOS,2675.79
Samsung,Intel i5,64,2TB SSD,Linux,1999.71
Samsung,AMD Ryzen 9,64,512GB SSD,macOS,7057.69
Samsung,AMD Ryzen 5,32,256GB SSD,FreeDOS,2189.32
HP,Intel i5,32,1TB SSD,Linux,2990.3
Acer,AMD Ryzen 9,16,1TB SSD,macOS,1816.37
Dell,Intel i9,4,2TB SSD,Linux,1742.8
Apple,AMD Ryzen 7,64,512GB SSD,macOS,4807.96
Microsoft,Intel i7,8,1TB HDD,Linux,1558.44
Lenovo,Intel i9,16,1TB HDD,FreeDOS,1671.21
Apple,Intel i3,64,256GB SSD,macOS,5334.23
Asus,AMD Ryzen 7,4,1TB SSD,Windows,975.82
Apple,Intel i9,64,512GB SSD,macOS,4941.32
Apple,Intel i3,8,512GB SSD,Windows,1939.12
Asus,AMD Ryzen 5,4,512GB SSD,Windows,1553.16
Asus,Intel i7,16,256GB SSD,macOS,2630.52
MSI,AMD Ryzen 3,16,2TB SSD,macOS,1325.13
Acer,Intel i7,32,2TB SSD,Linux,2581.42
Microsoft,AMD Ryzen 5,16,512GB SSD,macOS,2114.1
Asus,Intel i5,4,256GB SSD,FreeDOS,1005.4
Razer,AMD Ryzen 5,64,2TB SSD,macOS,2886.71
Lenovo,Intel i9,16,512GB SSD,Linux,1839.5
HP,Intel i7,8,512GB SSD,FreeDOS,1600.97
Acer,AMD Ryzen 9,64,1TB HDD,Windows,3264.95
Dell,AMD Ryzen 7,16,1TB SSD,macOS,2006.07
Acer,Intel i9,8,1TB SSD,Windows,1666.22
Samsung,AMD Ryzen 5,32,1TB SSD,Windows,1928.38
Lenovo,Intel i9,4,1TB HDD,Windows,2178.97
Dell,Intel i7,64,512GB SSD,macOS,3380.89
Acer,Intel i3,4,1TB SSD,FreeDOS,651.05
Acer,Intel i5,32,1TB SSD,FreeDOS,1547.43
MSI,Intel i3,4,1TB HDD,Linux,657.66
Samsung,AMD Ryzen 7,32,1TB HDD,Windows,1572.05
MSI,AMD Ryzen 5,4,256GB SSD,macOS,1350.79
Acer,Intel i3,16,2TB SSD,macOS,1238.07
Razer,AMD Ryzen 3,64,1TB HDD,FreeDOS,2033.16
Samsung,Intel i7,4,512GB SSD,FreeDOS,931.42
Acer,AMD Ryzen 3,8,1TB HDD,Windows,1009.14
Razer,AMD Ryzen 9,16,256GB SSD,Windows,2616.14
MSI,AMD Ryzen 3,8,1TB HDD,macOS,927.62
Apple,AMD Ryzen 5,64,256GB SSD,Linux,6542.83
Razer,AMD Ryzen 5,32,1TB HDD,Linux,1736.13
Apple,Intel i7,8,256GB SSD,FreeDOS,1570.6
Samsung,Intel i5,8,2TB SSD,FreeDOS,1001.22
Dell,Intel i5,4,256GB SSD,FreeDOS,1061.11
Lenovo,Intel i7,64,1TB HDD,macOS,1955.63
Asus,Intel i7,64,256GB SSD,FreeDOS,2593.13
Lenovo,Intel i7,4,256GB SSD,macOS,1124.2
HP,Intel i3,4,1TB HDD,Linux,745.48
HP,Intel i3,4,512GB SSD,FreeDOS,946.85
MSI,Intel i3,64,1TB SSD,FreeDOS,1733.84
Lenovo,Intel i3,64,1TB SSD,FreeDOS,1313.41
Microsoft,AMD Ryzen 9,4,1TB SSD,Windows,1362.71
MSI,Intel i7,8,2TB SSD,Windows,2043.49
Microsoft,AMD Ryzen 5,32,1TB SSD,Linux,1760.11
Acer,Intel i9,16,256GB SSD,macOS,3333.79
Acer,AMD Ryzen 5,16,1TB HDD,Linux,1255.36
Asus,Intel i7,4,1TB SSD,FreeDOS,1160.45
Lenovo,AMD Ryzen 7,64,1TB HDD,Windows,2632.8
Dell,Intel i5,4,2TB SSD,Windows,1372.7
Lenovo,Intel i7,4,512GB SSD,FreeDOS,1285.8
Acer,Intel i7,32,1TB HDD,FreeDOS,1429.4
Lenovo,Intel i3,32,2TB SSD,macOS,2324.26
Samsung,AMD Ryzen 7,4,1TB SSD,macOS,1186.32
Dell,Intel i9,32,1TB SSD,Linux,1913.16
Apple,Intel i3,16,1TB SSD,Linux,2059.67
Acer,Intel i3,4,1TB HDD,Linux,590.52
Acer,AMD Ryzen 7,32,512GB SSD,Linux,1935.01
Dell,AMD Ryzen 7,4,2TB SSD,Linux,923.15
MSI,Intel i7,16,1TB SSD,Windows,2608.98
HP,AMD Ryzen 9,4,1TB SSD,Windows,1215.97
Asus,AMD Ryzen 7,8,1TB SSD,macOS,963.99
HP,AMD Ryzen 3,4,2TB SSD,Windows,634.09
Microsoft,AMD Ryzen 9,32,2TB SSD,Linux,2321.07
Asus,Intel i9,8,1TB SSD,FreeDOS,1747.36
Dell,Intel i3,8,1TB SSD,macOS,1477.42
Microsoft,AMD Ryzen 9,16,512GB SSD,Linux,1790.81
HP,Intel i9,8,512GB SSD,FreeDOS,1514.93
MSI,Intel i5,16,2TB SSD,Linux,1291.1
MSI,AMD Ryzen 5,16,1TB SSD,FreeDOS,2005.94
Apple,AMD Ryzen 9,32,2TB SSD,Linux,7207.3
Acer,Intel i5,8,1TB SSD,Windows,1373.26
Lenovo,Intel i7,8,1TB SSD,Windows,1202.68
MSI,Intel i7,8,512GB SSD,FreeDOS,1546.58
HP,Intel i9,64,512GB SSD,Windows,3822.53
Apple,AMD Ryzen 7,8,1TB HDD,Windows,1293.35
Razer,Intel i5,32,1TB SSD,FreeDOS,2902.58
MSI,Intel i3,8,256GB SSD,macOS,1262.14
Apple,AMD Ryzen 3,64,2TB SSD,FreeDOS,4775.48
Microsoft,AMD Ryzen 9,16,1TB SSD,macOS,2809.72
Acer,Intel i5,4,2TB SSD,Windows,919.77
Samsung,Intel i3,4,2TB SSD,Linux,665.23
Lenovo,AMD Ryzen 9,16,256GB SSD,Windows,1682.53
Razer,Intel i7,32,2TB SSD,Windows,2404.1
Samsung,Intel i7,8,2TB SSD,FreeDOS,1592.22
Apple,AMD Ryzen 3,4,1TB HDD,FreeDOS,1090.6
MSI,Intel i3,16,1TB HDD,Linux,1848.65
Asus,AMD Ryzen 7,32,1TB HDD,macOS,2147.29
MSI,Intel i5,16,1TB HDD,Linux,2128.07
MSI,Intel i5,8,1TB SSD,Linux,1730.45
MSI,Intel i3,32,512GB SSD,Linux,1719.3
Acer,AMD Ryzen 7,4,2TB SSD,FreeDOS,1456.42
Microsoft,AMD Ryzen 9,8,1TB HDD,FreeDOS,1367.8
Acer,AMD Ryzen 3,16,1TB SSD,FreeDOS,1034.85
Apple,Intel i5,16,2TB SSD,FreeDOS,2880.18
Apple,Intel i3,16,256GB SSD,Linux,1863.97
Asus,Intel i5,64,1TB HDD,macOS,1691.41
Dell,Intel i7,8,1TB SSD,Linux,1190.38
Acer,AMD Ryzen 3,4,1TB SSD,Linux,1253.82
Microsoft,Intel i3,64,1TB HDD,macOS,3145.68
Samsung,AMD Ryzen 5,4,1TB HDD,Linux,589.91
Samsung,Intel i7,16,512GB SSD,Linux,1737.98
Lenovo,Intel i7,32,256GB SSD,FreeDOS,2424.64
